,Address,Bedrooms,Full Bathrooms,Half Bathrooms,Lot Size,Price,Square Feet
0,"0 Gateway
Rock Springs, WY 82901",,,,,"$725,000",
1,"1003 Winchester Blvd.
Rock Springs, WY 82901",4,4,,0.21 Acres,"$452,900",
2,"600 Talladega
Rock Springs, WY 82901",5,3,,,"$396,900","3,154"
3,"3239 Spearhead Way
Rock Springs, WY 82901",4,3,1,"Under 1/2 Acre, ","$389,900","3,076"
4,"522 Emerald Street
Rock Springs, WY 82901",3,3,,"Under 1/2 Acre, ","$254,000","1,172"
5,"1302 Veteran's Drive
Rock Springs, WY 82901",4,2,,0.27 Acres,"$252,900","1,932"
6,"1021 Cypress Cir
Rock Springs, WY 82901",4,3,,"Under 1/2 Acre, ","$210,000","1,676"
7,"913 Madison Dr
Rock Springs, WY 82901",3,2,,"Under 1/2 Acre, ","$209,000","1,344"
8,"1344 Teton Street
Rock Springs, WY 82901",3,2,,"Under 1/2 Acre, ","$199,900","1,920"
9,"4 Minnies Lane
Rock Springs, WY 82901",3,2,,2.02 Acres,"$196,900","1,664"
